player_id,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_name,league_name,club_position,nationality_name,preferred_foot,weak_foot,pace,shooting,passing,dribbling,defending,physic
231747,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,94,181500000,230000,24,20-12-1998,182,75,Paris Saint Germain,Ligue 1,LW,France,Right,4,97,90,80,92,36,78
239085,E. Haaland,Erling Braut Haaland,ST,91,94,185000000,340000,22,21-07-2000,195,94,Manchester City,Premier League,ST,Norway,Left,3,89,93,66,80,45,88
192985,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,103000000,350000,32,28-06-1991,181,75,Manchester City,Premier League,SUB,Belgium,Right,5,72,88,94,87,65,78
158023,L. Messi,Lionel Andrés Messi Cuccittini,"CF, CAM",90,90,41000000,23000,36,24-06-1987,169,67,Inter Miami,Major League Soccer,RF,Argentina,Left,4,80,87,90,94,33,64
165153,K. Benzema,Karim Benzema,"CF, ST",90,90,51000000,95000,35,19-12-1987,185,81,Al Ittihad,Pro League,RS,France,Right,4,79,88,83,87,39,78
188545,R. Lewandowski,Robert Lewandowski,ST,90,90,58000000,340000,34,21-08-1988,185,81,FC Barcelona,La Liga,ST,Poland,Right,4,75,91,80,87,44,84
192119,T. Courtois,Thibaut Nicolas Marc Courtois,GK,90,90,63000000,250000,31,11-05-1992,199,96,Real Madrid,La Liga,SUB,Belgium,Left,3,,,,,,
202126,H. Kane,Harry Kane,ST,90,90,119500000,170000,29,28-07-1993,188,85,FC Bayern München,Bundesliga,ST,England,Right,5,69,93,84,83,49,83
238794,Vini Jr.,Vinícius José Paixão de Oliveira Júnior,LW,89,94,158500000,310000,22,12-07-2000,176,73,Real Madrid,La Liga,SUB,Brazil,Right,4,95,82,78,90,29,68
212831,Alisson,Alisson Ramsés Becker,GK,89,90,77500000,180000,30,02-10-1992,193,91,Liverpool,Premier League,GK,Brazil,Right,3,,,,,,
231866,Rodri,Rodrigo Hernández Cascante,"CDM, CM",89,90,105500000,250000,27,22-06-1996,191,82,Manchester City,Premier League,RCM,Spain,Right,4,58,73,80,80,85,84
239818,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,89,90,106500000,250000,26,14-05-1997,187,82,Manchester City,Premier League,LCB,Portugal,Right,4,62,39,66,69,89,87
190871,Neymar Jr,Neymar da Silva Santos Júnior,LW,89,89,85500000,115000,31,05-02-1992,175,68,Al Hilal,Pro League,LM,Brazil,Right,5,86,83,85,93,37,61
192448,M. ter Stegen,Marc-André ter Stegen,GK,89,89,54500000,220000,31,30-04-1992,187,85,FC Barcelona,La Liga,GK,Germany,Right,4,,,,,,
200145,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,72000000,240000,31,23-02-1992,185,84,Manchester United,Premier League,RCM,Brazil,Right,3,63,75,79,73,89,88
203376,V. van Dijk,Virgil van Dijk,CB,89,89,70500000,220000,31,08-07-1991,193,92,Liverpool,Premier League,LCB,Netherlands,Right,3,78,60,71,72,89,86
209331,M. Salah,Mohamed Salah Ghaly,RW,89,89,85500000,260000,31,15-06-1992,175,71,Liverpool,Premier League,RW,Egypt,Left,3,89,87,81,88,45,76
239053,F. Valverde,Federico Santiago Valverde Dipetta,"CM, RW",88,92,130500000,270000,24,22-07-1998,182,78,Real Madrid,La Liga,RCM,Uruguay,Right,4,88,82,84,84,80,82
232293,V. Osimhen,Victor James Osimhen,ST,88,91,126500000,120000,24,29-12-1998,185,78,Napoli,Serie A,ST,Nigeria,Right,4,90,86,66,83,42,82
210257,Ederson,Ederson Santana de Moraes,GK,88,89,70000000,210000,29,17-08-1993,188,86,Manchester City,Premier League,GK,Brazil,Left,3,,,,,,
212622,J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",88,89,88000000,130000,28,08-02-1995,177,75,FC Bayern München,Bundesliga,RDM,Germany,Right,4,70,74,88,84,82,79
194765,A. Griezmann,Antoine Griezmann,"ST, CF",88,88,74000000,135000,32,21-03-1991,176,73,Atlético Madrid,La Liga,RS,France,Left,3,80,88,87,88,58,75
200389,J. Oblak,Jan Oblak,GK,88,88,61000000,90000,30,07-01-1993,188,87,Atlético Madrid,La Liga,GK,Slovenia,Right,3,,,,,,
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",88,88,92000000,260000,28,08-09-1994,179,69,Manchester United,Premier League,CAM,Portugal,Right,3,71,86,90,83,69,77
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CM, RW",88,88,91500000,270000,28,10-08-1994,173,64,Manchester City,Premier League,SUB,Portugal,Left,3,69,78,86,92,70,69
222665,M. Ødegaard,Martin Ødegaard,"CAM, CM",87,90,109000000,170000,24,17-12-1998,178,68,Arsenal,Premier League,RCM,Norway,Left,2,72,81,88,87,61,64
228702,F. de Jong,Frenkie de Jong,"CM, CDM",87,90,103500000,240000,26,12-05-1997,181,74,FC Barcelona,La Liga,LCM,Netherlands,Right,3,82,69,86,87,77,78
230621,G. Donnarumma,Gianluigi Donnarumma,GK,87,90,85000000,90000,24,25-02-1999,196,90,Paris Saint Germain,Ligue 1,GK,Italy,Right,3,,,,,,
231478,L. Martínez,Lautaro Javier Martínez,ST,87,90,107000000,150000,25,22-08-1997,174,72,Inter,Serie A,LS,Argentina,Right,4,80,86,71,85,48,85
235073,G. Kobel,Gregor Kobel,GK,87,90,81500000,64000,25,06-12-1997,195,88,Borussia Dortmund,Bundesliga,GK,Switzerland,Right,3,,,,,,
215698,M. Maignan,Mike Maignan,GK,87,89,73000000,90000,27,03-07-1995,191,89,Milan,Serie A,GK,France,Right,4,,,,,,
207865,Marquinhos,Marcos Aoás Corrêa,CB,87,88,73500000,140000,29,14-05-1994,183,75,Paris Saint Germain,Ligue 1,RCB,Brazil,Right,3,78,56,75,74,89,80
167495,M. Neuer,Manuel Peter Neuer,GK,87,87,9000000,55000,37,27-03-1986,193,93,FC Bayern München,Bundesliga,SUB,Germany,Right,4,,,,,,
177003,L. Modrić,Luka Modrić,CM,87,87,25000000,190000,37,09-09-1985,172,66,Real Madrid,La Liga,SUB,Croatia,Right,4,72,76,89,87,72,66
200104,H. Son,손흥민 孙兴慜,LW,87,87,77000000,170000,30,08-07-1992,183,78,Tottenham Hotspur,Premier League,LW,Korea Republic,Right,5,87,88,80,84,42,70
256790,J. Musiala,Jamal Musiala,"CAM, CM, LM",86,93,134500000,79000,20,26-02-2003,184,72,FC Bayern München,Bundesliga,CAM,Germany,Right,4,85,75,76,91,63,61
247635,K. Kvaratskhelia,Khvicha Kvaratskhelia,"LW, RW",86,92,109000000,95000,22,12-02-2001,183,70,Napoli,Serie A,LW,Georgia,Right,5,84,80,81,87,41,71
